gateway_id,offline_flag_hours,disconnect_flag_hours,reboot_flag_hours,recent_offline_mean,recent_disconnect_mean,recent_reboot_mean,total_flagged_hours,week_start,needs_visit
0202CB0A6B1F,5.0,1.0,0.0,41.70886075949367,0.10126582278481013,0.0,6.0,2025-08-25,0
02043B6BA08B,2.0,5.0,0.0,19.264150943396228,0.031446540880503145,0.0,7.0,2025-08-25,0
02075B45BF24,0.0,7.0,10.0,71.8,0.04827586206896552,0.06896551724137931,17.0,2025-08-25,0
02091DF7CCB8,1.0,0.0,0.0,1314.6239316239316,1.3162393162393162,0.07692307692307693,1.0,2025-08-25,0
02097AB58D3C,2.0,11.0,0.0,62.835443037974684,0.06962025316455696,0.0,13.0,2025-08-25,0
020CC6FB9659,2.0,1.0,1.0,221.62987012987014,0.42857142857142855,0.006493506493506494,4.0,2025-08-25,0
02132677328F,0.0,0.0,0.0,150.95714285714286,0.2714285714285714,0.0,0.0,2025-08-25,0
02142F017781,0.0,4.0,0.0,185.50310559006212,0.024844720496894408,0.0,4.0,2025-08-25,0
02145826103B,3.0,5.0,0.0,69.69871794871794,0.2564102564102564,0.0,8.0,2025-08-25,0
0217820BFFB2,3.0,9.0,0.0,222.48344370860926,0.32450331125827814,0.0,12.0,2025-08-25,0
021D82B56A3F,8.0,9.0,11.0,12959.976744186046,6.267441860465116,0.13953488372093023,28.0,2025-08-25,0
02251388D3A2,1.0,6.0,0.0,97.29813664596273,0.037267080745341616,0.0,7.0,2025-08-25,0
0228A99EE35A,4.0,5.0,0.0,50.74193548387097,0.03225806451612903,0.0,9.0,2025-08-25,0
022C6F326E3B,2.0,4.0,5.0,668.5639097744361,1.0676691729323309,0.03759398496240601,11.0,2025-08-25,0
022DB47C41AC,0.0,0.0,0.0,221.86013986013987,0.21678321678321677,0.0,0.0,2025-08-25,0
023015602FAA,2.0,7.0,0.0,50.70987654320987,0.043209876543209874,0.0,9.0,2025-08-25,0
0230D261A1CD,2.0,7.0,0.0,18.987179487179485,0.04487179487179487,0.0,9.0,2025-08-25,0
0230EEF72435,1.0,0.0,0.0,71.91082802547771,1.1656050955414012,0.0,1.0,2025-08-25,0
02314F9A9168,3.0,8.0,0.0,42.81875,0.05,0.0,11.0,2025-08-25,0
023257D29366,4.0,4.0,0.0,28.873493975903614,0.024096385542168676,0.0,8.0,2025-08-25,0
023270320B57,2.0,3.0,0.0,55.24683544303797,0.8291139240506329,0.0,5.0,2025-08-25,0
02388A18854F,0.0,0.0,0.0,1563.488,5.88,0.232,0.0,2025-08-25,0
0239AD51B7AF,1.0,0.0,0.0,106.24342105263158,0.34210526315789475,0.0,1.0,2025-08-25,0
023A663EFD87,2.0,1.0,0.0,155.26415094339623,0.6415094339622641,0.0,3.0,2025-08-25,0
023AD5204E1C,3.0,5.0,0.0,81.86503067484662,0.03067484662576687,0.0,8.0,2025-08-25,0
023ADDDECF84,0.0,0.0,0.0,62225.307692307695,13.5,0.1282051282051282,0.0,2025-08-25,0
02423E0E6E9F,7.0,2.0,3.0,434.49295774647885,0.44366197183098594,0.02112676056338028,12.0,2025-08-25,0
024570739DE0,1.0,8.0,1.0,15.13375796178344,0.050955414012738856,0.006369426751592357,10.0,2025-08-25,0
02478CD90F3A,1.0,7.0,0.0,157.02083333333334,0.04861111111111111,0.0,8.0,2025-08-25,0
024DD3A9ADCA,2.0,1.0,9.0,213.6115107913669,0.2949640287769784,0.06474820143884892,12.0,2025-08-25,0
024ED433BF7D,0.0,0.0,1.0,292.3898305084746,1.152542372881356,0.00847457627118644,1.0,2025-08-25,0
0253BB40EDA6,3.0,4.0,0.0,128.1768292682927,0.03048780487804878,0.0,7.0,2025-08-25,0
0257E855DBCE,5.0,1.0,1.0,44.807453416149066,0.08074534161490683,0.006211180124223602,7.0,2025-08-25,0
0259991BA036,2.0,1.0,2.0,24.69182389937107,0.09433962264150944,0.012578616352201259,5.0,2025-08-25,0
026A6007FA48,0.0,0.0,1.0,122945.4,21.272727272727273,0.5454545454545454,1.0,2025-08-25,0
